"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-116","Banks, N.","1944","Neuroptera of northern South America. Part III. Chrysopidae.","Boletín de Entomología Venezolana 3:1-34."
"Neu-Ref-117","Banks, N.","1943","New Neuroptera and Trichoptera from the United States.","Psyche 50:74-81."
"Neu-Ref-118","Banks, N.","1943","Some interesting Neuroptera from Australia.","Proceedings of the New England Zoological Club 22:99-103."
"Neu-Ref-119","Banks, N.","1945","A review of the Chrysopidae (Nothochrysidae) of Central America.","Psyche 52:139-174."
"Neu-Ref-120","Banks, N.","1947","Some neuropterous insects from Szechwan, China.","Fieldiana: Zoology, Chicago Natural History Museum 31:97-107."
"Neu-Ref-121","Banks, N.","1948","A new species of Corydalus (Neuroptera).","Psyche 55:82-83."
"Neu-Ref-122","Banks, N.","1948","Chrysopidae (Nothochrysidae) collected in Mexico by Dr. A. Dampf (Neuroptera).","Psyche 55:151-177."
"Neu-Ref-123","Banks, N.","1950","Notes and descriptions of western Chrysopidae (Neuroptera).","Psyche 57:45-67."
"Neu-Ref-125","Esben-Petersen, P.","1912","A few new Neuroptera Planipennia.","Entomologische Mitteilungen 1:267-273."
"Neu-Ref-130","Esben-Petersen, P.","1913","H. Sauter's Formosa-Ausbeute. Planipennia II, Megaloptera and Mecoptera.","Entomologische Mitteilungen 2:222-228, 257-265."
"Neu-Ref-131","Esben-Petersen, P.","1913","Mecoptera and Planipennia collected in Java by Edward Jacobson.","Notes from the Leyden Museum 35:225-236."
"Neu-Ref-132","Esben-Petersen, P.","1914","Australian Neuroptera. Part i.","Proceedings of the Linnean Society of New South Wales 39:635-645."
"Neu-Ref-133","Esben-Petersen, P.","1914","Descriptions of a new genus and some new or interesting species of Planipennia.","Notes from the Leyden Museum 36:263-270."
"Neu-Ref-134","Esben-Petersen, P.","1915","Australian Neuroptera. Part ii.","Proceedings of the Linnean Society of New South Wales 40:56-74."
"Neu-Ref-135","Esben-Petersen, P.","1915","Neuropteren und Embiiden aus Ober-Aegypten und dem Aegypt. Sudan.","Entomologische Mitteilungen 4:79-88."
"Neu-Ref-136","Esben-Petersen, P.","1915","New species of neuropterous insects in Danish collections.","Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening, Kobenhaven 66:175-181."
"Neu-Ref-138","Esben-Petersen, P.","1916","Notes concerning African Myrmeleonidae I.","Arkiv för Zoologi 10(15):1-22."
"Neu-Ref-139","Esben-Petersen, P.","1917","Australian Neuroptera. Part iii.","Proceedings of the Linnean Society of New South Wales 42:203-219."
"Neu-Ref-140","Esben-Petersen, P.","1917","Neue und wenig bekannte Mantispiden.","Arkiv för Zoologi 11(10):1-15."
"Neu-Ref-141","Esben-Petersen, P.","1917","New and little-known Australian Osmylidae.","Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening, Kobenhaven 68:1-5."
"Neu-Ref-143","Esben-Petersen, P.","1918","Results of Dr. E. Mjöberg's Swedish Scientific Expeditions to Australia 1910-1913. 18. Neuroptera and Mecoptera.","Arkiv för Zoologi 11(26):1-37."
"Neu-Ref-144","Esben-Petersen, P.","1918","Neuropteren der inneren Sahara. (Aus der sammelausbeute des Freiherrn Hans von Geyr).","Archiv für Naturgeschichte (A)84(9):143-159."
"Neu-Ref-145","Esben-Petersen, P.","1920","New species of neuropterous insects from South Africa (Ephemerida, Megaloptera, and Embiidina).","Annals of the South African Museum 17:499-505."
"Neu-Ref-147","Esben-Petersen, P.","1920","South African Neuroptera. I.","Annals of the South African Museum 17:507-521."
"Neu-Ref-148","Esben-Petersen, P.","1921","Description of a new genus and species of Myrmeleonidae from Japan.","Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening, Kobenhaven 72:127-128."
"Neu-Ref-150","Esben-Petersen, P.","1921","Notes concerning some Neuroptera in the Helsingfors Museum together with a description of Hemerobius poppii.","Notulae Entomologicae 1:38-43."
"Neu-Ref-151","Esben-Petersen, P.","1922","New species of Neuroptera in the British Museum [I].","Annals and Magazine of Natural History (9)10:617-621."
